Comment,Cleaned,Sentiment,Score
Part 2 please 🙏,part 2 please,positive,0.19091999999999998
"1:23 Le myself bhaskar 😂😂😂 
Gandi hasi chutti bhai dukaan ka naam padhte hi",1 23 le bhaskar gandi hasi chutti bhai dukaan ka naam padhte hi,neutral,0.0
Vai plz play ghost of yotei,vai plz play ghost yotei,positive,0.061619999999999994
Aalu khaoge 😂,aalu khaoge,neutral,0.0
Please classroom horror game,please classroom horror game,negative,-0.36400000000000005
200kLike,200klike,neutral,0.0
Bhai please Minecraft khelo,bhai please minecraft khelo,positive,0.19091999999999998
"Only Indian like ❤❤

👇",indian like,positive,0.21672
Minecraft game play video please please please please please please Minecraft play😢😢😢😢,minecraft game play video please please please please please please minecraft play,positive,0.40357999999999994
Vote for gta 5,vote gta 5,neutral,0.0
Trigger insan also play this before you * NO HATE *,trigger insan also play hate,negative,-0.51092
Ujjain Wale Like Karo 👍,ujjain wale like karo,positive,0.21672
Vote for GTA 5 Episode 162 🥺❤️‍🔥,vote gta 5 episode 162,neutral,0.0
Vote for gta part 161,vote gta part 161,neutral,0.0
Bhaiya drive beyond horizons khelo na 😢,bhaiya drive beyond horizons khelo na,neutral,0.0
"Gta5
😢😢😢😢😢😢😢😢😢
❤❤❤❤❤❤❤❤❤",gta5,neutral,0.0
Bhai wo gta ka next part......,bhai wo gta ka next part,neutral,0.0
Ujjain mp 😂,ujjain mp,neutral,0.0
We only need GTA 5❤❤❤😢😢,need gta 5,neutral,0.0
Horror game techno bhaiya ji please ❤❤🥺,horror game techno bhaiya ji please,negative,-0.36400000000000005
Gya 5,gya 5,neutral,0.0
Bhi Gtv 5 next part kab a rha hi,bhi gtv 5 next part kab rha hi,neutral,0.0
Gta dalo bhaii,gta dalo bhaii,neutral,0.0
Minecraft #96,minecraft 96,neutral,0.0
Gta,gta,neutral,0.0
Bhaiya op,bhaiya op,neutral,0.0
Bhaiya aap ne to ajjubhai ki copy karli,bhaiya aap ne ajjubhai ki copy karli,neutral,0.0
Today is my birthday but no like 😭💔,today birthday like,positive,0.21672
Kamla 2,kamla 2,neutral,0.0
Kamla 2😢😢😢,kamla 2,neutral,0.0
Vote for GTA. V please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please 0:46 0:48 0:49 0:50 0:50 0:50 0:51 0:51 0:51 0:51 0:51 0:52 0:52 0:52 0:52 0:52 0:53 0:53 0:53 0:53 0:53 please 🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺 please please 🥺🥺❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,vote gta v please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please 0 46 0 48 0 49 0 50 0 50 0 50 0 51 0 51 0 51 0 51 0 51 0 52 0 52 0 52 0 52 0 52 0 53 0 53 0 53 0 53 0 53 please please please,positive,0.59946
1 like I am Guy,1 like guy,positive,0.21672
👇🏻👇🏻,,neutral,0.0
Vote for minecraft video,vote minecraft video,neutral,0.0
Bhai minecraft video kab laoge,bhai minecraft video kab laoge,neutral,0.0
.,,neutral,0.0
Vote for gta 162,vote gta 162,neutral,0.0
100 like= 100% marks,100 like 100 marks,positive,0.21672
6:09 australia be like - bhai ek ball de do aur sandpaper bhi dedo,6 09 australia like bhai ek ball de aur sandpaper bhi dedo,positive,0.21672
Indian developers day by day  💀 ☠,indian developers day day,neutral,0.0
Gta 5 please next video,gta 5 please next video,positive,0.19091999999999998
If u are watching every vedio of TG then 👍,u watching every vedio tg,neutral,0.0
Vot for gta5😊,vot gta5,neutral,0.0
Technobhai gta kaa episode 162 kab daloga,technobhai gta kaa episode 162 kab daloga,neutral,0.0
Support me,support,positive,0.24113999999999997
Kon kon sunday ko dekh raha hain😂❤😅.,kon kon sunday ko dekh raha hain,neutral,0.0
Mea Ujjain se hi wha,mea ujjain se hi wha,neutral,0.0
Bhai gta v part 162 ka liye 👇,bhai gta v part 162 ka liye,neutral,0.0
Vote for GTA V episode 162,vote gta v episode 162,neutral,0.0
Justice for revinder jadeja ❤❤,justice revinder jadeja,positive,0.31601999999999997
Justice for revinder jadeja ❤❤,justice revinder jadeja,positive,0.31601999999999997
GTA 162  PLEASE MAT TADPAO BHAIYA.,gta 162 please mat tadpao bhaiya,positive,0.19091999999999998
Justice for revinder jadeja ❤❤,justice revinder jadeja,positive,0.31601999999999997
❤,,neutral,0.0
Techno bhai outlast  game khelo,techno bhai outlast game khelo,negative,-0.16000000000000003
Vote for minecraft part96,vote minecraft part96,neutral,0.0
yeh ujjwal ka mathe ka color aur face ka color match kyu nai kar raha editor bhai,yeh ujjwal ka mathe ka color aur face ka color match kyu nai kar raha editor bhai,neutral,0.0
Ek zombie game khelne tecno high,ek zombie game khelne tecno high,neutral,-0.04800000000000001
gta 5 part 162😢😢,gta 5 part 162,neutral,0.0
bhai hindi main khela kro,bhai hindi main khela kro,positive,0.06666666666666667
❤❤❤❤❤,,neutral,0.0
❤❤❤,,neutral,0.0
bhai come back in RDR2 seris,bhai come back rdr2 seris,neutral,0.0
@sourav bhai 1m,sourav bhai 1m,neutral,0.0
Vote for GTA 5😢😢,vote gta 5,neutral,0.0
Please play baby in yellow new chapter,please play baby yellow new chapter,positive,0.3704127272727272
Gta 5,gta 5,neutral,0.0
Gta 5,gta 5,neutral,0.0
Jis jis ne kue me nhaya hai like kro ❤❤❤,jis jis ne kue nhaya hai like kro,positive,0.21672
Vote for gta 162😢😢😢😢 please,vote gta 162 please,positive,0.19091999999999998
1k subscriber = I am dead,1k subscriber dead,negative,-0.46915999999999997
Nahate hai,nahate hai,neutral,0.0
Bhai ab Tum,bhai ab tum,neutral,0.0
Indiancarmechanic,indiancarmechanic,neutral,0.0
1:20,1 20,neutral,0.0
1:20,1 20,neutral,0.0
Play ice scream 7,play ice scream 7,neutral,-0.04632
Bro we need GTA part vote for GTA part ❤ -->,bro need gta part vote gta part,neutral,0.0
😮Haaa haaaa,haaa haaaa,neutral,0.0
Gta5 ke Vido,gta5 ke vido,neutral,0.0
Palworld 🥺 🥺 😢😢❤❤,palworld,neutral,0.0
10k like l am tatti,10k like l tatti,positive,0.4023
My 3rd comment on techno gamerz video for buying me a PC 🙏,3rd comment techno gamerz video buying pc,neutral,0.0
Gadi aur bhi honi chahiye 😊,gadi aur bhi honi chahiye,neutral,0.0
Ye konsa mechanic hai jo Tyre pe puncher Laga Raha  hai tube pe lagta hai puncher 😂😂😂😂,ye konsa mechanic hai jo tyre pe puncher laga raha hai tube pe lagta hai puncher,neutral,0.0
Amazing video bro ❤️,amazing video bro,positive,0.59154
GTA 5KHEL,gta 5khel,neutral,0.0
Love from Pakistan,love pakistan,positive,0.58214
Gta 5 video 🥲,gta 5 video,neutral,0.0
1000 likes= i am gay,1000 likes gay,positive,0.41956666666666664
Main khud hi idhar timepass hoon was epic 😂😂,main khud hi idhar timepass hoon epic,positive,0.05333333333333334
Hy,hy,neutral,0.0
Ye badiya tha 😂😂😂😂,ye badiya tha,neutral,0.0
Make gta5,make gta5,neutral,0.0
Bhai Aaj jada mjaa aya 😂 so funny,bhai aaj jada mjaa aya funny,positive,0.36424
Plz play Red Dead Redemption,plz play red dead redemption,negative,-0.26908
Bro plz try roblox Fix It up😢😢🙏🙏,bro plz try roblox fix,neutral,0.04632
10 LIKE = IAM GAY,10 like iam gay,positive,0.38338666666666665
railway chai wala indian game,railway chai wala indian game,negative,-0.16000000000000003
Vote for minecraft,vote minecraft,neutral,0.0
Baby in yellow act 4 please plese,baby yellow act 4 please plese,positive,0.19091999999999998
Gta,gta,neutral,0.0
"Aapke content se main bahut prerit hoon! Agar aapko mauka mile, to mere channel par bhi ek nazar daaliye. Mujhe aapki raay se bahut madad milegi. techno bhai🫂❤
channel name bitzcore gamerz❤",aapke content se main bahut prerit hoon agar aapko mauka mile mere channel par bhi ek nazar daaliye mujhe aapki raay se bahut madad milegi techno bhai channel name bitzcore gamerz,negative,-0.06666666666666668
Gta 5 lao bhai aap ka gta 5 video bahut acha lag ta hai please lao video jaldi 😢,gta 5 lao bhai aap ka gta 5 video bahut acha lag ta hai please lao video jaldi,neutral,-0.015479999999999999
Big fan ujjwal Bhai Mai Apko 2020 se dekh raha hu ❤,big fan ujjwal bhai mai apko 2020 se dekh raha hu,positive,0.19091999999999998
G T A 5 😢,g 5,neutral,0.0
Bhai gta v ki video,bhai gta v ki video,neutral,0.0
Vote for GTA next video 1:04,vote gta next video 1 04,neutral,0.0
Mera ghar ujjain mei hai😮😮😮,mera ghar ujjain mei hai,neutral,0.0
Excellent ❤❤,excellent,positive,0.7431399999999999
1M❤❤🎉🎉🎉,1m,neutral,0.0
Part 2 please 🙏,part 2 please,positive,0.19091999999999998
GTA 5,gta 5,neutral,0.0
Vai 162 ep cahiye😢😢🎉,vai 162 ep cahiye,neutral,0.0
Ujjwal bhai Holi abhi bahut dur hai😊😂,ujjwal bhai holi abhi bahut dur hai,neutral,0.0
200 LIKE - i am chakka,200 like chakka,positive,0.21672
1M likes i will eat ice in 1 December.,1m likes eat ice 1 december,positive,0.25289999999999996
Bhai gta 5 ka next video bahut din ho gaya hai,bhai gta 5 ka next video bahut din ho gaya hai,neutral,0.0
2:19 Hum Nate Hai Bhai 🤚,2 19 hum nate hai bhai,neutral,0.0
Play the GHOST of tsushima please 🙏,play ghost tsushima please,positive,0.20400000000000001
Top comment is gay!,top comment gay,positive,0.30471333333333334
1k like= iam gay,1k like iam gay,positive,0.38338666666666665
Play sf 2.0 please 🥺,play sf 2 0 please,positive,0.34313999999999995
Vote gor gta 5 next part ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,vote gor gta 5 next part,neutral,0.0
❤,,neutral,0.0
162 episode banao please😊😊 I love you,162 episode banao please love,positive,0.65474
Gta video,gta video,neutral,0.0
Mi,mi,neutral,0.0
Love you techno bhai,love techno bhai,positive,0.58214
"Bhai aap itna cars ka naam bata diye ho mere chhota bhai france ko farari padh raha hai ab batao isko country ka naam , city ka naam bhi yaad cars ka yeh list bana sakta hai 😅",bhai aap itna cars ka naam bata diye ho mere chhota bhai france ko farari padh raha hai ab batao isko country ka naam city ka naam bhi yaad cars ka yeh list bana sakta hai,negative,-0.2
Voo,voo,neutral,0.0
Please gta 5 162 part please 🥺,please gta 5 162 part please,positive,0.33444
50 like iam your father,50 like iam father,positive,0.21672
gta v,gta v,neutral,0.0
Bro gta pls,bro gta pls,neutral,0.04632
100 LIKE = I AM  GAY,100 like gay,positive,0.38338666666666665
Thanks for 123 subscribers happy to alll😊❤,thanks 123 subscribers happy alll,positive,0.659
Kon kon rat ko dekh raha hai like karo,kon kon rat ko dekh raha hai like karo,positive,0.21672
Meow,meow,neutral,0.0
Vote for GTA V,vote gta v,neutral,0.0
Gta ki video,gta ki video,neutral,0.0
Pc game or mobile,pc game mobile,negative,-0.16000000000000003
Ujjawal bahi please Koi film Jaisi Koi playlist laye Jaise uncharted The lost legacy lae the vote karke ujjawal bhaiAC playlist lie,ujjawal bahi please koi film jaisi koi playlist laye jaise uncharted lost legacy lae vote karke ujjawal bhaiac playlist lie,neutral,0.0
❤😂❤😂❤❤🎉❤❤🎉🎉❤❤🎉🎉❤❤🎉🎉❤🎉❤❤🎉❤🎉❤🎉,,neutral,0.0
Plz play city scalean game,plz play city scalean game,positive,0.08113999999999993
8:8,8 8,neutral,0.0
Chetak scooter 🛵,chetak scooter,neutral,0.0
Gta v 162 please 🥺🥺❤️,gta v 162 please,positive,0.19091999999999998
1000 like = techo gay,1000 like techo gay,positive,0.38338666666666665
Gta 5,gta 5,neutral,0.0
Vote for GTA v part 162,vote gta v part 162,neutral,0.0
GTA 5 vote,gta 5 vote,neutral,0.0
Choo Choo charls ❤,choo choo charls,neutral,0.0
❤❤,,neutral,0.0
Vote for GTA V,vote gta v,neutral,0.0
"Support indian Game❌
Sponsered indian Game✅
😂😂..Money Money😂😂",support indian game sponsered indian game money money,positive,0.08113999999999993
Gta,gta,neutral,0.0
I am a Muslim 😊 support me 😮❤,muslim support,positive,0.24113999999999997
Ujjwal bhai support kar do,ujjwal bhai support kar,positive,0.24113999999999997
❤❤Hi❤❤,hi,neutral,0.0
India me lembo 😂,india lembo,neutral,0.0
Vote for Pakistan Games ❤❤❤❤❤❤❤,vote pakistan games,neutral,0.0
Gta5,gta5,neutral,0.0
Gta 5 162 part please......,gta 5 162 part please,positive,0.19091999999999998
Jisne like nhi kiya vo pakkka final exam me fail,jisne like nhi kiya vo pakkka final exam fail,negative,-0.25
0:34 The Indian Game ☠️,0 34 indian game,negative,-0.16000000000000003
500 SUBSCRIBER = I AM GAY,500 subscriber gay,positive,0.16666666666666669
What if the game developer comments on his video 😂,game developer comments video,negative,-0.16000000000000003
Teri maa ki Jai ho,teri maa ki jai ho,neutral,0.0
Vote for gat5 ❤❤,vote gat5,neutral,0.0
❤❤❤,,neutral,0.0
Vote gta 5 😢😢,vote gta 5,neutral,0.0
Minecraft,minecraft,neutral,0.0
Bro ma Pakistani ho AP apni gta 5 ki video kab dalo ga I am waiting for gta5,bro pakistani ho ap apni gta 5 ki video kab dalo ga waiting gta5,neutral,0.0
Please bhai logo mujhe bhi saport karo 😢😢😢,please bhai logo mujhe bhi saport karo,positive,0.19091999999999998
Vote for GTA V and Minecraft,vote gta v minecraft,neutral,0.0
300 SUBSCRIBER *=* I AM GAY,300 subscriber gay,positive,0.16666666666666669
🎉🎉🎉,,neutral,0.0
