Comment,Cleaned,Sentiment,Score
❤,,neutral,0.0
❤❤❤❤❤❤,,neutral,0.0
"sare puch de ne menu kyu mein gallan ni karda 
uff these lines💔😭",sare puch de ne menu kyu mein gallan ni karda uff lines,neutral,0.0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ omg 😱,omg,neutral,0.0
My favourite song🎵🎵😮😮,favourite song,neutral,0.0
❤,,neutral,0.0
Talwiinder is game changer❤&afusic is game maker❤,talwiinder game changer afusic game maker,negative,-0.16000000000000003
All time favourite song,time favourite song,neutral,0.0
🔥🔥🔥🔥🔥🔥🔥,,neutral,0.0
I❤you,,neutral,0.0
😭♥️,,neutral,0.0
We love you 💕😊😊,love,positive,0.58214
❤❤❤,,neutral,0.0
Op.   😊😊😊😊😊😊😊😊😊😊,op,neutral,0.0
My favourite song❤❤❤❤❤❤❤❤❤😊😊😊,favourite song,neutral,0.0
Hello,hello,neutral,0.0
❤,,neutral,0.0
Wa nice song man . Me Faisal khan,wa nice song man faisal khan,positive,0.49289999999999995
❤❤💐💐😘🎉😇,,neutral,0.0
❤❤❤❤❤❤❤❤,,neutral,0.0
Ghedrjbrnbtnt bt t. R u ❣️ fr to tjf,ghedrjbrnbtnt bt r u fr tjf,neutral,0.0
My fabrat song ❤❤❤❤🎉🎉🎉😊,fabrat song,neutral,0.0
Nice song bro🎉,nice song bro,positive,0.49289999999999995
❤❤❤,,neutral,0.0
Jo ye wala song sun rha hai attendence lagae,jo ye wala song sun rha hai attendence lagae,neutral,0.0
App please❤,app please,positive,0.19091999999999998
bhai copyright aya hai???,bhai copyright aya hai,neutral,0.0
❤❤❤❤,,neutral,0.0
