Comment,Cleaned,Sentiment,Score
Gaalii me ek SURR.. Hona chaiye SURRRRRRR …..🤪,gaalii ek surr hona chaiye surrrrrrr,neutral,0.0
Are carry bhai kya kar rehe ho😂😂😂😂😂😂😂,carry bhai kya kar rehe ho,neutral,0.0
How did he convinced orry😂,convinced orry,positive,0.24113999999999997
Why the fuck is it auto dubbed,fuck auto dubbed,negative,-0.48538000000000003
Are ek 26:50 clip watch again inlogo ne delhi me rdx bomb blast karne ki baat ki aur vo bhi car blast hone se pahle ye kaise ho sakta hai,ek 26 50 clip watch inlogo ne delhi rdx bomb blast karne ki baat ki aur vo bhi car blast hone se pahle ye kaise ho sakta hai,negative,-0.29634
"Why don't you and youtuber meet YouTuber Swagger Sharma?😢
He is top above all youtuber and his content 🔥 you know",n't youtuber meet youtuber swagger sharma top youtuber content know,positive,0.32138
Amazing bro love you ❤,amazing bro love,positive,0.7241199999999999
😂,,neutral,0.0
"The first 8 min is boring and vulgar, not watching it",first 8 min boring vulgar watching,negative,-0.38425333333333334
R2h ko sab unsubscribe kardo jab video banahi nahi raha he to hataooo,r2h ko sab unsubscribe kardo jab video banahi nahi raha hataooo,neutral,0.0
@gauravzone bhaii comebackkk❤❤❤❤❤❤❤❤❤❤❤,gauravzone bhaii comebackkk,neutral,0.0
Aby bc iphone gira dia 😂,aby bc iphone gira dia,neutral,0.0
Sirf bijli ka bill pr hassi ai 😊,sirf bijli ka bill pr hassi ai,neutral,0.0
8:40 the best part 🤌🏻🌚,8 40 best part,positive,0.7821400000000001
🎉 1:01 1:02 1:02 1:02 1:02 1:03 1:03 1:03 1:03 1:03 1:04 1:04 1:04 1:04 1:05 1:05 1:05 1:05 1:05 1:06 1:06 1:06 1:07 1:07 1:07 1:07 1:07 1:08 1:08 1:08 1:08 1:09 1:09 1:09 1:09 1:09 1:10 1:10 1:10 1:11 1:11 1:11 1:11 1:12 1:12 1:13 1:13 1:13 1:14 1:14 1:14 1:14 1:14 1:15 1:15 1:15 1:15 1:16 1:16 1:16 1:16 1:17 1:17 1:17 1:17 1:17 1:18 1:18 1:18 1:18 1:19 1:19 1:19 1:20 1:20 1:20 1:20 1:20 1:21 1:21 1:21 1:22 1:22 1:22 1:22 1:22 1:23 1:23 1:23 1:23 1:24 1:24 1:24 1:24 1:25 1:25 1:25 1:25 1:26 1:26 1:26 1:26 1:27 1:27 1:27 1:27 1:28 1:28 1:28 1:28 1:29 1:29 1:29 1:29 1:30 1:30 1:30 1:30 1:30 1:31 1:31 1:32 1:32 1:32 1:33 1:33 1:33 1:33 1:34 1:34 1:34 1:34 1:34 1:35 1:35 1:35 1:36 1:36 1:36 1:36 1:37 1:37 1:37 1:39 1:39 1:39 1:39 1:39 1:40 1:40 1:40 1:40 1:41 1:41 1:41 1:42 1:42 1:42 1:42 1:42 1:43 1:43 1:43 1:43 1:44 1:44 1:44 1:45 1:45 1:45 1:45 1:46 1:46 1:48 1:48 1:48 1:49 1:49 1:49 1:49 1:50 1:50 1:50 1:50 1:51 1:51 1:51 1:51 1:52 1:52 1:52 1:53 1:53 1:53 1:53 1:54 1:54 1:54 1:54 1:55 1:55 1:55 1:55 1:56 1:56 1:56 1:57 1:57 1:57 1:57 1:57 1:58 1:58 1:58 1:58 1:59 1:59 1:59 1:59 2:00 2:00 2:00 2:00 2:01 2:01 2:01 2:02 2:02 2:02 2:02 2:02 2:03 2:03 2:03 2:04 2:04 2:04 2:04 2:05 2:05 2:05 2:05 2:05 2:06 2:06 2:06 2:06 2:07,1 01 1 02 1 02 1 02 1 02 1 03 1 03 1 03 1 03 1 03 1 04 1 04 1 04 1 04 1 05 1 05 1 05 1 05 1 05 1 06 1 06 1 06 1 07 1 07 1 07 1 07 1 07 1 08 1 08 1 08 1 08 1 09 1 09 1 09 1 09 1 09 1 10 1 10 1 10 1 11 1 11 1 11 1 11 1 12 1 12 1 13 1 13 1 13 1 14 1 14 1 14 1 14 1 14 1 15 1 15 1 15 1 15 1 16 1 16 1 16 1 16 1 17 1 17 1 17 1 17 1 17 1 18 1 18 1 18 1 18 1 19 1 19 1 19 1 20 1 20 1 20 1 20 1 20 1 21 1 21 1 21 1 22 1 22 1 22 1 22 1 22 1 23 1 23 1 23 1 23 1 24 1 24 1 24 1 24 1 25 1 25 1 25 1 25 1 26 1 26 1 26 1 26 1 27 1 27 1 27 1 27 1 28 1 28 1 28 1 28 1 29 1 29 1 29 1 29 1 30 1 30 1 30 1 30 1 30 1 31 1 31 1 32 1 32 1 32 1 33 1 33 1 33 1 33 1 34 1 34 1 34 1 34 1 34 1 35 1 35 1 35 1 36 1 36 1 36 1 36 1 37 1 37 1 37 1 39 1 39 1 39 1 39 1 39 1 40 1 40 1 40 1 40 1 41 1 41 1 41 1 42 1 42 1 42 1 42 1 42 1 43 1 43 1 43 1 43 1 44 1 44 1 44 1 45 1 45 1 45 1 45 1 46 1 46 1 48 1 48 1 48 1 49 1 49 1 49 1 49 1 50 1 50 1 50 1 50 1 51 1 51 1 51 1 51 1 52 1 52 1 52 1 53 1 53 1 53 1 53 1 54 1 54 1 54 1 54 1 55 1 55 1 55 1 55 1 56 1 56 1 56 1 57 1 57 1 57 1 57 1 57 1 58 1 58 1 58 1 58 1 59 1 59 1 59 1 59 2 00 2 00 2 00 2 00 2 01 2 01 2 01 2 02 2 02 2 02 2 02 2 02 2 03 2 03 2 03 2 04 2 04 2 04 2 04 2 05 2 05 2 05 2 05 2 05 2 06 2 06 2 06 2 06 2 07,neutral,0.0
We need r2h also,need r2h also,neutral,0.0
5:58  ye badiya tha guru 😂😂,5 58 ye badiya tha guru,neutral,0.0
Reality bro 😂😂😂,reality bro,neutral,0.0
Vote for balveer 😂😂😂😂😂,vote balveer,neutral,0.0
English me kyu aari he yrr,english kyu aari yrr,neutral,0.0
Prediction delhi attack,prediction delhi attack,negative,-0.28602
