Comment,Cleaned,Sentiment,Score
"India Tour 2025 Tickets Link : https://linktr.ee/theskygupta
Hope aap sabko video pasand aya. Do share this with your friends & colleagues. Aur hata diya auto dubbing. Thanks to @ashishsolanki_1 :)",india tour 2025 tickets link hope aap sabko video pasand aya share friends colleagues aur hata diya auto dubbing thanks ashishsolanki 1,positive,0.6067400000000001
I❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤this  video,video,neutral,0.0
when will u come to Jammu and Kashmir !,u come jammu kashmir,neutral,0.0
Thanku for making. Me laugh ❤❤❤❤❤ .. those who are going throught tough times.. only know  ki it matters,thanku making laugh going throught tough times know ki matters,positive,0.2785622222222222
Wooooohh❤❤🎉🎉,wooooohh,neutral,0.0
"Jokes apart kuch boss bht acche aur casual hote h. 

Mera wala awsum n bht understanding h ❤❤",jokes apart kuch boss bht acche aur casual hote h mera wala awsum n bht understanding h,positive,0.05289999999999995
Ustadji😂😂😂😂😂😂😂,ustadji,neutral,0.0
Amazing brooo,amazing brooo,positive,0.59154
"Mein toh Japan mein kaam karta hoon, yaha ki work ethics to worst hain 😭😭😭",mein toh japan mein kaam karta hoon yaha ki work ethics worst hain,negative,-0.77494
5:42,5 42,neutral,0.0
19:50 This part is soo funny 😂,19 50 part soo funny,positive,0.36424
Come to banaras pls 🚩🚩,come banaras pls,neutral,0.04632
"Dear Akash, 
I want to deeply thank you for the work that you do, my father was upset these past few days i didn't know what to do then i remembered this standup I saw a couple days back and i showed it to him and he is now in a better mood. So thankyou again for bringing smile on his face:)
May god bless you
Regards,
Satakshi",dear akash want deeply thank work father upset past days n't know remembered standup saw couple days back showed better mood thankyou bringing smile face may god bless regards satakshi,positive,0.5888
"TOO GOOD, MUST WATCH IT❤❤",good must watch,positive,0.54424
Best video ever,best video ever,positive,0.7821400000000001
😂😂😂😂😂😂😂😂this was so funny,funny,positive,0.36424
Awesome 👌 👏,awesome,positive,0.77494
Bhai shab 1no.,bhai shab 1no,neutral,0.0
Same ....... Same 😢,,neutral,0.0
Ye mere real life events kyu expose kr rha hai bhai 😂😂😂,ye mere real life events kyu expose kr rha hai bhai,negative,-0.15186
brooo soooo gooood,brooo soooo gooood,neutral,0.0
😂😂👍👍,,neutral,0.0
He took regards personally 😂,took regards personally,neutral,0.0
So freaking funny 😅😅😅😅,freaking funny,positive,0.11548
"Just share 
We could
could help",share could could help,positive,0.35964
"Regards,",regards,neutral,0.0
@7:02 😂,7 02,neutral,0.0
The way he said Aakash...Dil Chahta Hai movie ki yaad aa gayi 😂,way said aakash dil chahta hai movie ki yaad aa gayi,neutral,0.0
"aakash bhaiya can make a good carrer in acting aswell ,😂🔥",aakash bhaiya make good carrer acting aswell,positive,0.40423999999999993
Wowww 😂😂😂,wowww,neutral,0.0
Superb bhai ❤❤,superb bhai,positive,0.77494
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,,neutral,0.0
"I can sincerely sympathize with Akash. 
In younger years, sincere young people look for mentorship but often find themselves rudderless by seniors who do not understand their struggle.
Instead of helping/mentoring them or at the very least, staying quiet, 
these seniors mock these younger people and target their abilities.
I sincerely appreciate this Akash's bit. 
This is basically a trauma response.
Have faith in God dear Akash Sir.
God bless you. 
You have put a smile on my face on some very hard days. 
I am thankful to you.",sincerely sympathize akash younger years sincere young people look mentorship often find rudderless seniors understand struggle instead helping mentoring least staying quiet seniors mock younger people target abilities sincerely appreciate akash 's bit basically trauma response faith god dear akash sir god bless put smile face hard days thankful,positive,0.6357133333333334
Really helpful perspective  thanks for sharing!,really helpful perspective thanks sharing,positive,0.5854999999999999
Bhai kbhi lucknow bhi aajaya kro 🙏🙏🙏🙏🙏,bhai kbhi lucknow bhi aajaya kro,neutral,0.0
"Good ....one observation during the conversation of him going alone in car ....he says"" mein driver and AC ki awaaz "" however during the same conversation he says ""garmi ho Rahi hai  AC chala lu"" 😂",good one observation conversation going alone car says mein driver ac ki awaaz however conversation says garmi ho rahi hai ac chala lu,positive,0.4157799999999999
Aakash Gupta❤ Ravi Gupta❤,aakash gupta ravi gupta,neutral,0.0
Bahut sahi standup video kaffi dino baad,bahut sahi standup video kaffi dino baad,neutral,0.0
Bhai Mera naam bhi Aakash hai🎉🎉🎉😂😂😂🎉😂,bhai mera naam bhi aakash hai,neutral,0.0
You are so funny 😂😂😂,funny,positive,0.36424
Regards 😂❤,regards,neutral,0.0
At first he said he used to go by Metro later by the office cab from the first day of joining for the years he worked.,first said used go metro later office cab first day joining years worked,positive,0.06666666666666667
REGARDS.........😂,regards,neutral,0.0
You nailed it bro!,nailed bro,neutral,0.0
😂😂😂,,neutral,0.0
in Corporate greens 😅😅😅,corporate greens,neutral,0.0
I am not a corporate employee but still I laughed so much😂😂,corporate employee still laughed much,positive,0.39527999999999996
So good😂😂😂😂😂😂😂😂😂,good,positive,0.54424
Ek no bro😅😅😅,ek bro,neutral,0.0
Audience kon hai iski…nibba nibbis?,audience kon hai iski nibba nibbis,neutral,0.0
😂😂😂😂😂,,neutral,0.0
Please pin that girl hemangi message ❤,please pin girl hemangi message,positive,0.19091999999999998
Muh me lelo was personal...😅😅😅,muh lelo personal,neutral,0.0
😂😂😂,,neutral,0.0
"Someone please cite the jokes. He's not funny at all. Bassi, Haseeb Khan are thousand times better.",someone please cite jokes 's funny bassi haseeb khan thousand times better,positive,0.65652
Don't try to copy abhishek abhimanyu,n't try copy abhishek abhimanyu,neutral,0.0
That was too funny bro 👏🏻😂,funny bro,positive,0.36424
His story telling skills and facial expression 💀🤯,story telling skills facial expression,neutral,0.0
9:57 regards 😂😂😂,9 57 regards,neutral,0.0
Never disappoints... Had such an wonderful time watching it 😂✌✌✌,never disappoints wonderful time watching,positive,0.27658000000000005
Ye funny toh nahi h😑,ye funny toh nahi h,positive,0.36424
One of the best 👍,one best,positive,0.7821400000000001
Ye last me kon banda aa gaya,ye last kon banda aa gaya,neutral,0.0
Kyon log connect na karenge kyunki ajkal sab log corporate majduri hi toh hai,kyon log connect na karenge kyunki ajkal sab log corporate majduri hi toh hai,neutral,0.0
When u will do your show in Ranchi ❤,u show ranchi,neutral,0.0
7,7,neutral,0.0
😂😂,,neutral,0.0
😂😂❤,,neutral,0.0
"Bhai you always make us laugh effortlessly 😂😂😂
Agreed guys❤❤❤",bhai always make us laugh effortlessly agreed guys,positive,0.53448
Bhai socho boss ko bhi g@li wala option mil jaye 😅😅😅,bhai socho boss ko bhi g li wala option mil jaye,neutral,0.0
Regards mummy 😂😂😂😂,regards mummy,neutral,0.0
Hey you jaldi jaldi video dala karo warna mene kidnep krdena h,hey jaldi jaldi video dala karo warna mene kidnep krdena h,neutral,0.0
14:45 galat kiya aapke buaji ne,14 45 galat kiya aapke buaji ne,neutral,0.0
2 whatsapp group ban gaye the ek labour ke saath ek company walo ke saath 🤣🤣🤣,2 whatsapp group ban gaye ek labour ke saath ek company walo ke saath,negative,-0.33444
Isiliye sala Sarkari job achi h,isiliye sala sarkari job achi h,neutral,0.0
Manager ko bhej du to panga ho jayega sala 9 bje tak pada rha h mujhe bhi chahta h ruko main nhi rukta,manager ko bhej du panga ho jayega sala 9 bje tak pada rha h mujhe bhi chahta h ruko main nhi rukta,positive,0.06666666666666667
Bhai ab wo maja nhi aa raha video main hasi nhi aa rahi,bhai ab wo maja nhi aa raha video main hasi nhi aa rahi,positive,0.06666666666666667
7:13 530 that too on Friday nobody works after 4 on Friday in abroad 😂😂,7 13 530 friday nobody works 4 friday abroad,neutral,0.0
❤❤❤,,neutral,0.0
Accha likhte ho,accha likhte ho,neutral,0.0
Starting वाला shutta मारते हुए fuuuuui😂😂,starting shutta fuuuuui,neutral,0.0
One of the best ❤,one best,positive,0.7821400000000001
"Aakash Gupta perfectly captures the corporate struggle! The Big Four experience is hilariously relatable - the toxic boss, fake politeness, and that epic cab story had me dying! Your storytelling brings out the frustration every employee feels. Comedy gold!",aakash gupta perfectly captures corporate struggle big four experience hilariously relatable toxic boss fake politeness epic cab story dying storytelling brings frustration every employee feels comedy gold,neutral,-0.048046666666666654
Lovedd it❤,lovedd,neutral,0.0
Maja aa gya bhai,maja aa gya bhai,neutral,0.0
"Aakash gupta,s videos best medicine for stress and anxiety 😂😂😂 keep going bro love your videos❤❤❤❤❤",aakash gupta videos best medicine stress anxiety keep going bro love videos,positive,0.72576
"tbh big4 is not good, now or later you'll realize.",tbh big4 good later 'll realize,positive,0.40423999999999993
Why there is auto dub in this video 😢😢,auto dub video,neutral,0.0
Akash is not just good comedian he is good actor too,akash good comedian good actor,positive,0.76756
This comedy bit is copied for Patrice O Neal. He talked about harrasment day. You talked about gaali day😢,comedy bit copied patrice neal talked harrasment day talked gaali day,positive,0.21672
Nice..😂😂,nice,positive,0.49289999999999995
Ye sb pehle bhi suna hua lg rha hai? Re-uploaded hai kya?,ye sb pehle bhi suna hua lg rha hai uploaded hai kya,neutral,0.0
Ye coldplay toh jin wala ho gya na,ye coldplay toh jin wala ho gya na,neutral,0.0
Veryyyyyyy niceeeee mannnn❤😂❤❤😂❤,veryyyyyyy niceeeee mannnn,neutral,0.0
😂😂😂😂😂❤❤❤❤❤,,neutral,0.0
